general_health,veg_perweek,feel_left_out,poverty_level,household_tenure,interview_language
VERY GOOD,15,HARDLY EVER,0-99% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
FAIR,6,,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
GOOD,3,,0-99% FPL,OWN,SPANISH
,16,,0-99% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
FAIR,0,,100-199% FPL,OWN,SPANISH
FAIR,14,,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
,7,,100-199% FPL,OWN,SPANISH
,11,,100-199% FPL,OWN,SPANISH
GOOD,3,,0-99% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
FAIR,7,HARDLY EVER,100-199% FPL,OWN,SPANISH
FAIR,4,,0-99% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
VERY GOOD,7,,300% FPL AND ABOVE,RENT/SOME OTHER ARRANGEMENT,SPANISH
FAIR,7,,0-99% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
,23,,0-99% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
GOOD,4,,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
GOOD,2,,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
GOOD,25,,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
GOOD,0,,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
GOOD,8,,300% FPL AND ABOVE,OWN,SPANISH
VERY GOOD,5,,200-299% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
VERY GOOD,1,,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
GOOD,5,SOME OF THE TIME,300% FPL AND ABOVE,OWN,SPANISH
GOOD,9,,100-199% FPL,OWN,SPANISH
GOOD,0,,200-299% FPL,OWN,SPANISH
GOOD,5,,300% FPL AND ABOVE,OWN,SPANISH
GOOD,8,HARDLY EVER,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
VERY GOOD,7,,300% FPL AND ABOVE,RENT/SOME OTHER ARRANGEMENT,SPANISH
VERY GOOD,4,,300% FPL AND ABOVE,RENT/SOME OTHER ARRANGEMENT,SPANISH
POOR,4,,0-99% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
,24,,0-99% FPL,OWN,SPANISH
FAIR,14,,100-199% FPL,OWN,SPANISH
GOOD,5,,0-99% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
FAIR,2,,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
GOOD,16,,100-199% FPL,OWN,SPANISH
GOOD,0,HARDLY EVER,100-199% FPL,OWN,SPANISH
,0,,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
VERY GOOD,14,,0-99% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
FAIR,12,,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
GOOD,5,,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
POOR,4,,0-99% FPL,OWN,SPANISH
GOOD,11,,300% FPL AND ABOVE,OWN,SPANISH
VERY GOOD,3,,100-199% FPL,OWN,SPANISH
FAIR,4,,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
POOR,2,,100-199% FPL,OWN,SPANISH
VERY GOOD,6,,300% FPL AND ABOVE,OWN,SPANISH
VERY GOOD,19,,300% FPL AND ABOVE,OWN,SPANISH
GOOD,11,,200-299% FPL,OWN,SPANISH
FAIR,6,,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
,2,,200-299% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
VERY GOOD,10,,200-299% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
GOOD,8,,100-199% FPL,OWN,SPANISH
VERY GOOD,7,,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
GOOD,5,HARDLY EVER,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
FAIR,17,,0-99% FPL,OWN,SPANISH
FAIR,1,HARDLY EVER,200-299% FPL,OWN,SPANISH
GOOD,18,,0-99% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
,17,,0-99% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
GOOD,6,,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
GOOD,13,,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
GOOD,1,HARDLY EVER,100-199% FPL,OWN,SPANISH
GOOD,10,,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
GOOD,10,,0-99% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
FAIR,7,,0-99% FPL,OWN,SPANISH
VERY GOOD,16,,0-99% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
GOOD,20,,200-299% FPL,OWN,SPANISH
VERY GOOD,18,,0-99% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
,2,,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
VERY GOOD,15,HARDLY EVER,0-99% FPL,OWN,SPANISH
GOOD,4,HARDLY EVER,0-99% FPL,OWN,SPANISH
FAIR,13,SOME OF THE TIME,0-99% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
VERY GOOD,12,,0-99% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
,3,,0-99% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
GOOD,7,,100-199% FPL,OWN,SPANISH
GOOD,2,,200-299% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
VERY GOOD,5,SOME OF THE TIME,0-99% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
GOOD,9,,0-99% FPL,OWN,SPANISH
GOOD,9,HARDLY EVER,0-99% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
,0,,200-299% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
GOOD,6,,100-199% FPL,OWN,SPANISH
FAIR,5,HARDLY EVER,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
GOOD,8,,0-99% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
,4,,0-99% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
GOOD,10,,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
GOOD,2,,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
FAIR,14,,200-299% FPL,OWN,SPANISH
GOOD,13,HARDLY EVER,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
,10,,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
GOOD,13,,200-299% FPL,OWN,SPANISH
GOOD,11,,0-99% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
GOOD,8,,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
GOOD,8,HARDLY EVER,300% FPL AND ABOVE,OWN,SPANISH
,7,,200-299% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
VERY GOOD,7,,0-99% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
FAIR,6,,100-199% FPL,OWN,SPANISH
