general_health,veg_perweek,feel_left_out,poverty_level,household_tenure,interview_language
FAIR,0,HARDLY EVER,100-199% FPL,OWN,ENGLISH
GOOD,4,,300% FPL AND ABOVE,OWN,ENGLISH
,3,,300% FPL AND ABOVE,OWN,ENGLISH
VERY GOOD,7,,300% FPL AND ABOVE,OWN,ENGLISH
VERY GOOD,6,,300% FPL AND ABOVE,OWN,ENGLISH
,7,,300% FPL AND ABOVE,OWN,ENGLISH
,5,,300% FPL AND ABOVE,OWN,ENGLISH
FAIR,12,,300% FPL AND ABOVE,OWN,ENGLISH
VERY GOOD,6,,0-99% FPL,RENT/SOME OTHER ARRANGEMENT,ENGLISH
GOOD,0,,200-299% FPL,RENT/SOME OTHER ARRANGEMENT,ENGLISH
,0,,300% FPL AND ABOVE,OWN,ENGLISH
,11,,200-299% FPL,RENT/SOME OTHER ARRANGEMENT,ENGLISH
GOOD,3,,300% FPL AND ABOVE,OWN,ENGLISH
,7,HARDLY EVER,300% FPL AND ABOVE,OWN,ENGLISH
,19,,300% FPL AND ABOVE,OWN,ENGLISH
,9,,300% FPL AND ABOVE,OWN,ENGLISH
VERY GOOD,5,,300% FPL AND ABOVE,OWN,ENGLISH
FAIR,14,,0-99% FPL,RENT/SOME OTHER ARRANGEMENT,ENGLISH
GOOD,5,SOME OF THE TIME,300% FPL AND ABOVE,OWN,ENGLISH
VERY GOOD,10,,300% FPL AND ABOVE,OWN,ENGLISH
GOOD,3,HARDLY EVER,300% FPL AND ABOVE,OWN,ENGLISH
GOOD,9,HARDLY EVER,300% FPL AND ABOVE,OWN,ENGLISH
VERY GOOD,5,HARDLY EVER,200-299% FPL,RENT/SOME OTHER ARRANGEMENT,ENGLISH
GOOD,23,,0-99% FPL,RENT/SOME OTHER ARRANGEMENT,ENGLISH
GOOD,1,,300% FPL AND ABOVE,OWN,ENGLISH
VERY GOOD,3,HARDLY EVER,0-99% FPL,OWN,ENGLISH
,5,,300% FPL AND ABOVE,OWN,ENGLISH
GOOD,3,HARDLY EVER,300% FPL AND ABOVE,OWN,ENGLISH
VERY GOOD,4,HARDLY EVER,300% FPL AND ABOVE,OWN,ENGLISH
VERY GOOD,1,HARDLY EVER,200-299% FPL,OWN,ENGLISH
GOOD,5,HARDLY EVER,300% FPL AND ABOVE,RENT/SOME OTHER ARRANGEMENT,ENGLISH
GOOD,2,,100-199% FPL,OWN,ENGLISH
GOOD,0,SOME OF THE TIME,300% FPL AND ABOVE,OWN,ENGLISH
GOOD,7,,300% FPL AND ABOVE,OWN,ENGLISH
VERY GOOD,6,SOME OF THE TIME,300% FPL AND ABOVE,OWN,ENGLISH
VERY GOOD,5,,300% FPL AND ABOVE,OWN,ENGLISH
VERY GOOD,9,HARDLY EVER,100-199% FPL,OWN,ENGLISH
GOOD,10,SOME OF THE TIME,300% FPL AND ABOVE,OWN,ENGLISH
VERY GOOD,3,HARDLY EVER,300% FPL AND ABOVE,OWN,ENGLISH
,1,,300% FPL AND ABOVE,OWN,ENGLISH
VERY GOOD,2,HARDLY EVER,0-99% FPL,RENT/SOME OTHER ARRANGEMENT,ENGLISH
GOOD,5,,300% FPL AND ABOVE,RENT/SOME OTHER ARRANGEMENT,ENGLISH
,2,SOME OF THE TIME,300% FPL AND ABOVE,OWN,ENGLISH
GOOD,1,,100-199% FPL,OWN,ENGLISH
FAIR,18,HARDLY EVER,100-199% FPL,OWN,ENGLISH
VERY GOOD,22,,300% FPL AND ABOVE,OWN,ENGLISH
,4,HARDLY EVER,300% FPL AND ABOVE,OWN,ENGLISH
VERY GOOD,6,HARDLY EVER,300% FPL AND ABOVE,OWN,ENGLISH
,6,,300% FPL AND ABOVE,OWN,ENGLISH
GOOD,0,,0-99% FPL,RENT/SOME OTHER ARRANGEMENT,ENGLISH
VERY GOOD,16,,0-99% FPL,OWN,ENGLISH
GOOD,12,,300% FPL AND ABOVE,OWN,ENGLISH
VERY GOOD,5,HARDLY EVER,300% FPL AND ABOVE,OWN,ENGLISH
VERY GOOD,16,HARDLY EVER,300% FPL AND ABOVE,OWN,ENGLISH
GOOD,0,,300% FPL AND ABOVE,OWN,ENGLISH
VERY GOOD,14,HARDLY EVER,300% FPL AND ABOVE,RENT/SOME OTHER ARRANGEMENT,ENGLISH
VERY GOOD,5,,0-99% FPL,RENT/SOME OTHER ARRANGEMENT,ENGLISH
VERY GOOD,0,,300% FPL AND ABOVE,OWN,ENGLISH
GOOD,11,OFTEN,300% FPL AND ABOVE,OWN,ENGLISH
GOOD,8,HARDLY EVER,300% FPL AND ABOVE,OWN,ENGLISH
VERY GOOD,9,,300% FPL AND ABOVE,RENT/SOME OTHER ARRANGEMENT,ENGLISH
GOOD,2,,0-99% FPL,RENT/SOME OTHER ARRANGEMENT,ENGLISH
,1,HARDLY EVER,300% FPL AND ABOVE,OWN,ENGLISH
GOOD,4,,200-299% FPL,OWN,ENGLISH
VERY GOOD,2,,300% FPL AND ABOVE,OWN,ENGLISH
FAIR,3,,300% FPL AND ABOVE,OWN,ENGLISH
VERY GOOD,0,HARDLY EVER,300% FPL AND ABOVE,OWN,ENGLISH
,5,HARDLY EVER,300% FPL AND ABOVE,RENT/SOME OTHER ARRANGEMENT,ENGLISH
VERY GOOD,11,,300% FPL AND ABOVE,OWN,ENGLISH
VERY GOOD,3,HARDLY EVER,300% FPL AND ABOVE,OWN,ENGLISH
,1,,300% FPL AND ABOVE,OWN,ENGLISH
,9,SOME OF THE TIME,200-299% FPL,OWN,ENGLISH
GOOD,4,HARDLY EVER,300% FPL AND ABOVE,OWN,ENGLISH
,5,,300% FPL AND ABOVE,OWN,ENGLISH
VERY GOOD,3,,300% FPL AND ABOVE,OWN,ENGLISH
GOOD,12,,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,ENGLISH
VERY GOOD,23,HARDLY EVER,100-199% FPL,OWN,ENGLISH
GOOD,0,,300% FPL AND ABOVE,OWN,ENGLISH
POOR,16,,300% FPL AND ABOVE,RENT/SOME OTHER ARRANGEMENT,ENGLISH
,6,,300% FPL AND ABOVE,OWN,ENGLISH
GOOD,8,,300% FPL AND ABOVE,RENT/SOME OTHER ARRANGEMENT,ENGLISH
VERY GOOD,3,,200-299% FPL,OWN,ENGLISH
GOOD,3,HARDLY EVER,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,ENGLISH
VERY GOOD,2,,200-299% FPL,OWN,ENGLISH
GOOD,3,,200-299% FPL,RENT/SOME OTHER ARRANGEMENT,ENGLISH
VERY GOOD,2,,300% FPL AND ABOVE,OWN,ENGLISH
,10,,300% FPL AND ABOVE,OWN,ENGLISH
GOOD,3,HARDLY EVER,300% FPL AND ABOVE,OWN,ENGLISH
FAIR,16,,300% FPL AND ABOVE,RENT/SOME OTHER ARRANGEMENT,ENGLISH
VERY GOOD,7,,300% FPL AND ABOVE,OWN,ENGLISH
VERY GOOD,16,,300% FPL AND ABOVE,OWN,ENGLISH
,3,,200-299% FPL,RENT/SOME OTHER ARRANGEMENT,ENGLISH
VERY GOOD,6,HARDLY EVER,300% FPL AND ABOVE,OWN,ENGLISH
GOOD,16,HARDLY EVER,300% FPL AND ABOVE,OWN,ENGLISH
GOOD,3,,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,ENGLISH
FAIR,16,HARDLY EVER,300% FPL AND ABOVE,OWN,ENGLISH
VERY GOOD,11,,0-99% FPL,OWN,ENGLISH
