general_health,veg_perweek,feel_left_out,poverty_level,household_tenure,interview_language
GOOD,7,,200-299% FPL,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
POOR,16,HARDLY EVER,200-299% FPL,OWN,OTHER LANGUAGE
FAIR,7,,200-299% FPL,OWN,OTHER LANGUAGE
FAIR,7,HARDLY EVER,300% FPL AND ABOVE,OWN,OTHER LANGUAGE
VERY GOOD,5,,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
VERY GOOD,3,,200-299% FPL,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
FAIR,5,,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
GOOD,7,,200-299% FPL,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
VERY GOOD,6,,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
FAIR,4,,300% FPL AND ABOVE,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
GOOD,2,,300% FPL AND ABOVE,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
VERY GOOD,18,,300% FPL AND ABOVE,OWN,OTHER LANGUAGE
VERY GOOD,2,,300% FPL AND ABOVE,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
VERY GOOD,2,,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
,5,,0-99% FPL,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
VERY GOOD,4,,300% FPL AND ABOVE,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
VERY GOOD,2,,300% FPL AND ABOVE,OWN,OTHER LANGUAGE
FAIR,7,,300% FPL AND ABOVE,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
VERY GOOD,16,,200-299% FPL,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
VERY GOOD,5,,200-299% FPL,OWN,OTHER LANGUAGE
GOOD,1,,300% FPL AND ABOVE,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
FAIR,10,,200-299% FPL,OWN,OTHER LANGUAGE
GOOD,0,SOME OF THE TIME,300% FPL AND ABOVE,OWN,OTHER LANGUAGE
GOOD,4,,300% FPL AND ABOVE,OWN,OTHER LANGUAGE
VERY GOOD,16,,0-99% FPL,OWN,OTHER LANGUAGE
FAIR,21,,100-199% FPL,OWN,OTHER LANGUAGE
POOR,4,HARDLY EVER,0-99% FPL,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
FAIR,3,,0-99% FPL,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
VERY GOOD,9,,300% FPL AND ABOVE,OWN,OTHER LANGUAGE
FAIR,3,,200-299% FPL,OWN,OTHER LANGUAGE
VERY GOOD,1,,300% FPL AND ABOVE,OWN,OTHER LANGUAGE
VERY GOOD,4,HARDLY EVER,200-299% FPL,OWN,OTHER LANGUAGE
GOOD,14,HARDLY EVER,200-299% FPL,OWN,OTHER LANGUAGE
FAIR,0,HARDLY EVER,300% FPL AND ABOVE,OWN,OTHER LANGUAGE
,4,,300% FPL AND ABOVE,OWN,OTHER LANGUAGE
FAIR,11,,0-99% FPL,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
GOOD,3,,300% FPL AND ABOVE,OWN,OTHER LANGUAGE
FAIR,0,,200-299% FPL,OWN,OTHER LANGUAGE
FAIR,3,,200-299% FPL,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
VERY GOOD,2,HARDLY EVER,300% FPL AND ABOVE,OWN,OTHER LANGUAGE
FAIR,3,,300% FPL AND ABOVE,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
VERY GOOD,4,,300% FPL AND ABOVE,OWN,OTHER LANGUAGE
POOR,9,HARDLY EVER,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
FAIR,17,OFTEN,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
VERY GOOD,3,,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
GOOD,5,,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
VERY GOOD,6,,300% FPL AND ABOVE,OWN,OTHER LANGUAGE
VERY GOOD,5,,300% FPL AND ABOVE,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
,1,,300% FPL AND ABOVE,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
,0,,0-99% FPL,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
FAIR,1,,300% FPL AND ABOVE,OWN,OTHER LANGUAGE
GOOD,12,,300% FPL AND ABOVE,OWN,OTHER LANGUAGE
GOOD,0,OFTEN,300% FPL AND ABOVE,OWN,OTHER LANGUAGE
FAIR,5,,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
VERY GOOD,3,,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
GOOD,8,HARDLY EVER,300% FPL AND ABOVE,OWN,OTHER LANGUAGE
FAIR,0,OFTEN,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
VERY GOOD,16,,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
FAIR,9,,200-299% FPL,OWN,OTHER LANGUAGE
GOOD,3,,300% FPL AND ABOVE,OWN,OTHER LANGUAGE
FAIR,0,,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
VERY GOOD,1,,300% FPL AND ABOVE,OWN,OTHER LANGUAGE
FAIR,8,,0-99% FPL,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
FAIR,6,SOME OF THE TIME,300% FPL AND ABOVE,OWN,OTHER LANGUAGE
FAIR,5,HARDLY EVER,0-99% FPL,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
,7,,100-199% FPL,OWN,OTHER LANGUAGE
GOOD,4,OFTEN,200-299% FPL,OWN,OTHER LANGUAGE
GOOD,2,,300% FPL AND ABOVE,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
GOOD,10,,200-299% FPL,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
GOOD,7,HARDLY EVER,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
VERY GOOD,5,HARDLY EVER,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
