general_health,veg_perweek,feel_left_out,poverty_level,household_tenure,interview_language
GOOD,16,HARDLY EVER,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
,7,,300% FPL AND ABOVE,OWN,OTHER LANGUAGE
GOOD,5,,300% FPL AND ABOVE,OWN,OTHER LANGUAGE
GOOD,3,,0-99% FPL,OWN,OTHER LANGUAGE
,7,HARDLY EVER,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
GOOD,2,,200-299% FPL,OWN,OTHER LANGUAGE
GOOD,3,,200-299% FPL,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
FAIR,2,,200-299% FPL,OWN,OTHER LANGUAGE
GOOD,4,,0-99% FPL,OWN,OTHER LANGUAGE
FAIR,1,,300% FPL AND ABOVE,OWN,OTHER LANGUAGE
VERY GOOD,8,,300% FPL AND ABOVE,OWN,OTHER LANGUAGE
VERY GOOD,4,,300% FPL AND ABOVE,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
GOOD,3,,200-299% FPL,OWN,OTHER LANGUAGE
GOOD,3,,100-199% FPL,OWN,OTHER LANGUAGE
GOOD,7,,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
VERY GOOD,5,SOME OF THE TIME,300% FPL AND ABOVE,OWN,OTHER LANGUAGE
FAIR,12,,300% FPL AND ABOVE,OWN,OTHER LANGUAGE
FAIR,2,,300% FPL AND ABOVE,OWN,OTHER LANGUAGE
POOR,4,,0-99% FPL,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
POOR,7,SOME OF THE TIME,0-99% FPL,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
POOR,4,HARDLY EVER,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
GOOD,1,,200-299% FPL,OWN,OTHER LANGUAGE
,0,,300% FPL AND ABOVE,OWN,OTHER LANGUAGE
GOOD,5,,300% FPL AND ABOVE,OWN,OTHER LANGUAGE
GOOD,4,,300% FPL AND ABOVE,OWN,OTHER LANGUAGE
FAIR,3,,200-299% FPL,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
GOOD,15,,200-299% FPL,OWN,OTHER LANGUAGE
GOOD,4,HARDLY EVER,300% FPL AND ABOVE,OWN,OTHER LANGUAGE
FAIR,12,HARDLY EVER,200-299% FPL,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
FAIR,1,,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
VERY GOOD,0,,300% FPL AND ABOVE,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
VERY GOOD,2,,200-299% FPL,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
,7,,300% FPL AND ABOVE,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
GOOD,21,,300% FPL AND ABOVE,OWN,OTHER LANGUAGE
VERY GOOD,17,,300% FPL AND ABOVE,OWN,OTHER LANGUAGE
